KLEE: Using STP solver backend
KLEE: SAT solver: MiniSat
KLEE: ERROR: bugs.c:37: ASSERTION FAIL: strcmp(expected, result) == 0
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:49: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:53: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:52: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:51: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:39: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:48: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:55: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: ERROR: test.c:54: memory error: out of bound pointer
KLEE: NOTE: now ignoring this error at this location
KLEE: HaltTimer invoked
KLEE: halting execution, dumping remaining states
