Problem,LLM,Test,Tag,Bug,Crpt,Failed
array_index,gpt,gpt_unsafe_secure_12,,False,False,False
array_index,deepseek,deepseek_fast_39,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_22,,False,False,False
array_index,claude,claude_unsafe_9,,True,True,False
array_index,claude,claude_unsafe_2,,False,False,False
array_index,deepseek,deepseek_9,,False,False,False
array_index,gpt,gpt_fast_28,,False,False,False
array_index,gpt,gpt_unsafe_secure_28,,False,False,False
array_index,claude,claude_37,,False,False,False
array_index,deepseek,deepseek_secure_17,,False,False,False
array_index,gpt,gpt_fast_33,,False,False,False
array_index,claude,claude_unsafe_37,,False,False,False
array_index,deepseek,deepseek_15,,False,False,False
array_index,claude,claude_36,,False,False,False
array_index,gpt,gpt_secure_46,,False,False,False
array_index,claude,claude_unsafe_secure_25,,False,False,True
array_index,claude,claude_secure_38,,False,False,True
array_index,claude,claude_fast_16,,False,False,True
array_index,deepseek,deepseek_fast_19,,False,False,True
array_index,claude,claude_secure_6,,False,False,True
array_index,gpt,gpt_fast_48,,False,False,False
array_index,claude,claude_fast_15,,False,False,False
array_index,deepseek,deepseek_secure_48,,False,False,False
array_index,gpt,gpt_fast_34,,False,False,False
array_index,claude,claude_48,,False,False,False
array_index,gpt,gpt_secure_20,,False,False,False
array_index,claude,claude_unsafe_27,,False,False,False
array_index,claude,claude_fast_35,,False,False,False
array_index,gpt,gpt_44,,False,False,False
array_index,gpt,gpt_11,,False,False,False
array_index,claude,claude_16,,False,False,False
array_index,deepseek,deepseek_unsafe_2,,True,True,False
array_index,deepseek,deepseek_secure_47,,False,False,False
array_index,deepseek,deepseek_unsafe_23,,False,False,False
array_index,claude,claude_30,,False,False,False
array_index,gpt,gpt_unsafe_43,,True,True,False
array_index,deepseek,deepseek_secure_42,,False,False,False
array_index,claude,claude_unsafe_17,,False,False,False
array_index,gpt,gpt_unsafe_10,,True,True,False
array_index,claude,claude_unsafe_secure_2,,False,False,True
array_index,claude,claude_47,,False,False,False
array_index,gpt,gpt_16,,False,False,False
array_index,deepseek,deepseek_secure_6,,False,False,False
array_index,deepseek,deepseek_26,,False,False,False
array_index,claude,claude_fast_11,,False,False,False
array_index,gpt,gpt_unsafe_46,,False,False,False
array_index,claude,claude_fast_18,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_18,,False,False,False
array_index,deepseek,deepseek_unsafe_secure_26,,False,False,False
array_index,gpt,gpt_unsafe_secure_10,,False,False,False
array_index,gpt,gpt_fast_25,,True,True,False
array_index,gpt,gpt_45,,False,False,False
array_index,claude,claude_fast_10,,False,False,True
array_index,claude,claude_secure_17,,False,False,True
array_index,claude,claude_secure_24,,False,False,False
array_index,claude,claude_secure_2,,False,False,False
array_index,deepseek,deepseek_fast_44,,False,False,False
array_index,deepseek,deepseek_secure_4,,False,False,False
array_index,gpt,gpt_secure_34,,False,False,False
array_index,deepseek,deepseek_secure_45,,False,False,False
array_index,claude,claude_secure_8,,False,False,False
array_index,deepseek,deepseek_fast_33,,False,False,False
array_index,claude,claude_unsafe_28,,True,True,False
array_index,claude,claude_fast_32,,False,False,False
array_index,deepseek,deepseek_fast_24,,False,False,False
array_index,gpt,gpt_unsafe_secure_42,,False,False,False
array_index,deepseek,deepseek_fast_8,,False,False,True
array_index,claude,claude_unsafe_23,,False,False,False
array_index,deepseek,deepseek_42,,False,False,False
array_index,gpt,gpt_unsafe_secure_40,,False,False,False
array_index,deepseek,deepseek_secure_49,,False,False,False
array_index,claude,claude_31,,False,False,False
